#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED,COUNTRY
F,DDE20F,Duo Discus,OY-XVK,VK,N,Y,Denmark
F,DDC225,Marianne,F-CVVK,VK,Y,Y,France
F,DDF9D4,Marianne,F-FVVK,VK,Y,Y,France
F,DF2382,DG300,N300VK,VK,Y,Y,United States
F,D00239,Nimbus 2,OK-4981,VK,Y,Y,Czech Republic
F,D005A1,Nimbus 2,OK-4981,VK,Y,Y,Czech Republic
I,484805,LS-8a NEO,PH-1332,VK,Y,Y,Netherlands
F,DF03E7,Genesis 2,VH-GVK,VK,Y,Y,Australia
F,DDE60A,Eurostar EV97,SE-VKS,VKS,Y,Y,Sweden
I,DD8EFD,Ventus 2cxt,D-KKVL,VL,Y,Y,Germany
F,DDEB34,Taurus,PU-PVL,VL,N,Y,Brazil
F,DDF928,LS3-a,D-3936,VL,Y,Y,Germany
F,DD9198,ASW-20,HB-1825,VL,N,Y,Switzerland
I,484A33,ASK-21,PH-688,VL,Y,Y,Netherlands
I,3EE2DD,Std. Cirrus,D-0582,VL,N,Y,Germany
I,A57174,LS-4,N45TH,VL,Y,Y,United States
F,DDD940,Ventus,F-CGLN,VL,N,Y,France
F,576176,Mistral-C,D-4938,VL,Y,Y,Germany
I,3EECE9,Discus b,D-3154,VM,Y,Y,Germany
F,DDDB42,Mini Nimbus,SE-UVM,VM,Y,Y,Sweden
I,3E6DF6,Arcus M,D-KGVM,VM,Y,Y,Germany
F,DDB203,Libelle H-301,D-9378,VM,Y,Y,Germany
I,3E7BA0,Ventus 2cxM,D-KMAA,VM,Y,Y,Germany
F,DDE2EA,Discus 2a,D-2691,VM,Y,Y,Germany
F,DD827B,ASK-18,D-2947,VM,N,Y,Germany
I,4010EF,Vans RV-9,G-OPVM,VM,N,Y,United Kingdom
F,D0092E,ASW 20 CL,D-3505,VM,Y,Y,Germany
F,DF22BB,DG505,VMF,VMF,Y,Y,Unknown
I,3EEA25,ASW17,D-2446,VN,Y,Y,Germany
F,DD9413,ASK-21,D-9119,VN,Y,Y,Germany
I,3E733F,ASH 31 MI,D-KIVN,VN,Y,Y,Germany
I,A00443,Ventus 2CM,N10VN,VN,Y,Y,United States
I,4068CD,Puchacz,G-MRVN,VN,Y,Y,United Kingdom
I,A1B8DA,Discus 2,N21TH,VN,N,Y,United States
F,DD4ED6,Duo Discus t,OY-XVN,VN,N,Y,Denmark
I,A1B752,Grob 103,N21BR,VN,Y,Y,United States
I,484806,LS-4b,PH-1363,VN,Y,Y,Netherlands
I,4B4ECF,JS1,HB-2600,VN,Y,Y,Switzerland
F,D004B4,LS8 Neo,PH-1686,VNE,Y,Y,Netherlands
F,D0043D,ASW-27,4X-GAU,VNE,Y,Y,Unknown
I,A32850,Mosquito,N302S,VNE,Y,Y,United States
I,484AC5,Discus-2cT,PH-1424,VNE,Y,Y,Netherlands
F,DDDBD1,SF25C,F-COVO,VO,Y,Y,France
I,3952AE,DA40,F-GUVO,VO,N,Y,France
I,3ED5F0,DG800B,D-KVZC,VO,Y,Y,Germany
I,9DB274,Paraglider,D-NONE,VO,Y,Y,Germany
F,DD82B2,Mistral C,D-4928,VO,Y,Y,Germany
I,3E6012,ASG 29 Es,D-KBOS,VO,Y,Y,Germany
F,3E5E20,ASH26E,D-KAVO,VO,Y,Y,Germany
O,640347,Paraglider,VOSTIMA,VOS,Y,Y,Unknown
N,0A032C,Paraglider,VOSTIMA,VOS,Y,Y,Unknown
F,DD51EC,Paraglider,VOSTIMA,VOS,Y,Y,Unknown
I,484BF3,Duo Discus XLT,PH-1446,VP,Y,Y,Netherlands
F,DF234D,ASH31MI,D-KFVP,VP,Y,Y,Germany
F,D00E99,Ventus 3 TS,OY-SJX,VP,Y,Y,Denmark
I,45CD58,Ventus 3 TS,OY-SJX,VP,Y,Y,Denmark
I,3FFB81,Shark 600,D-MGVP,VP2,Y,Y,Germany
F,DF0B7A,ASH 31Mi,VH-VPG,VPG,Y,Y,Australia
I,C02487,ASW-20,C-FNVQ,VQ,Y,Y,Canada
