#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED,COUNTRY
F,3E5E9B,JS1 Revelation,D-KBAH,AS,Y,Y,Germany
F,DDA5BD,ASW-19,D-7953,AS,N,Y,Germany
F,DF13E2,Glasflügel 304,D-2559,AS,Y,Y,Germany
F,DD4153,DG-800,D-KTGE,AS,N,Y,Germany
F,DD91B4,ASW 20,D-2372,AS,Y,Y,Germany
F,DDDE7B,ASW-24,D-3185,AS,N,Y,Germany
F,DDA6EE,G102 StdAstir,D-6158,AS,Y,Y,Germany
I,F71512,Ventus 2,D-3499,AS,N,Y,Germany
F,DDBABB,DG-800,D-KTGE,AS,N,Y,Germany
I,4B4E7B,ASH-31 Mi,HB-2516,AS,Y,Y,Switzerland
F,DDAD01,Jantar Std 3,SP-3817,AS,Y,Y,Poland
I,3FF5B5,Silent 2e glider,D-MANS,AS,Y,Y,Germany
F,3E7040,Ventus 3M,D-KHSA,AS,Y,Y,Germany
I,3EC0FA,Grob G109,D-KOAS,AS,Y,Y,Germany
F,3E6BDA,SF 25 C,D-KGAS,AS,Y,Y,Germany
F,DDA378,LS-4,D-8914,AS,Y,Y,Germany
F,DDAEB2,ASW-20,D-8020,AS,N,Y,Germany
I,3E63EE,Ventus cT,D-KDAS,AS,Y,Y,Germany
F,DDECD5,ASH 25 MI,D-KRAS,AS,Y,Y,Germany
F,DDEA61,DG-808 C,D-KJCB,AS,Y,Y,Germany
I,5A5341,ASW-20,I-MOSK,AS,N,Y,Italy
I,4B5077,ASW24,HB-3024,AS,Y,Y,Switzerland
I,A81A05,ASW-20,N621AS,AS,Y,Y,United States
I,48683B,AS33Me,PH-1712,AS,Y,Y,Netherlands
I,53CB3B,ASW-20,D-8020,AS,N,Y,Germany
I,405597,Slingsby T65A Vega,G-VEGA,AS,Y,Y,United Kingdom
F,DDE5AE,ASW20WL,SE-UUO,AS,Y,Y,Sweden
F,4CC440,Duo Discus T,TF-SAS,AS,Y,Y,Iceland
F,DD13AC,Paraglider,ALEN,AS,Y,Y,Unknown
I,523305,Caproni Calif A21S,N72312,AS,Y,Y,United States
I,4B4E8D,JS-3,HB-2534,AS,Y,Y,Switzerland
F,DDA85C,Ls4a,D-0415,AS,Y,Y,Germany
F,A1293A,Libelle,N174NE,AS,Y,Y,United States
F,1118AB,DRONE,ASB-SAR,ASB,Y,Y,Unknown
F,A515C0,Multiple,M-ULTIPLE,ASC1,Y,Y,Isle of Man
I,4407FA,ASH-26 E,OE-9461,ASH,Y,Y,Austria
F,DDACBF,ASH-25,OE-5525,ASH,N,Y,Austria
I,C001DF,ASK-21,C-FASK,ASK,Y,Y,Canada
O,DD9A43,ASK21,D-7812,ASK,Y,Y,Germany
I,4B4B07,ASK-21,HB-1632,ASK,Y,Y,Switzerland
F,DDE359,ASK-21,OK-9966,ASK,Y,Y,Czech Republic
F,DD9A43,ASK21,D-7812,ASK21,Y,Y,Germany
F,DD9ABF,ASTIR,OE-5476,ASTIR,Y,Y,Austria
O,DD9ABF,ASTIR,OE-5476,ASTIR,Y,Y,Austria
F,DD8734,Falke SF-25,D-KFAT,AT,Y,Y,Germany
F,DDB511,Ka-6,D-7220,AT,N,Y,Germany
F,DD8626,Ventus2cxT,D-KKXX,AT,Y,Y,Germany
F,D0130B,A1-Antares,D-KERP,AT,Y,Y,Germany
I,4B4B25,LS-4,HB-1662,AT,Y,Y,Switzerland
F,DD80CB,DynAero MCR-01,HB-WAT,AT,Y,Y,Switzerland
F,DDA517,DG-300,D-9410,AT,Y,Y,Germany
F,DDDBE7,Ka8,OO-ZAT,AT,Y,Y,Belgium
I,4B4E68,Arcus T,HB-2497,AT,Y,Y,Switzerland
I,4B3A2B,DynAero MCR-01,HB-WAT,AT,Y,Y,Switzerland
F,D031C9,Discus CS,D-0881,AT,Y,Y,Germany
I,C007BE,SZD-55,C-FCYF,AT,N,Y,Canada
I,3E78C5,Ventus2cxT,D-KKXX,AT,Y,Y,Germany
F,DF21B3,AS 34 Me,N434AT,AT,Y,Y,United States
I,3ED8BF,ASG-29E,D-KXAT,AT,N,Y,Germany
I,AAF262,Ventus,804T,AT,Y,Y,Unknown
I,4408E6,Cessna 150L,OE-ATX,ATX,Y,Y,Austria
F,DDD3B1,Ka-6,F-CEAU,AU,Y,Y,France
F,A9590F,Genesis 2,N701JB,AU,Y,Y,United States
F,4B499B,Club-Libelle H205,4B499B,AU,Y,Y,Unknown
F,DDA37D,SF-25,D-KNAU,AU,N,Y,Germany
F,DD9280,SF-25,G-KIAU,AU,Y,Y,United Kingdom
F,D0037E,ASW-19,D-6531,AU,Y,Y,Germany
F,DDB244,ASW19B,D-6531,AU,Y,Y,Germany
F,DDC22E,Ka-8,D-2945,AU,N,Y,Germany
I,C00212,Cessna 305A,C-FAUJ,AUJ,Y,Y,Canada
I,C01D3F,SZD-59 Acro,C-FLBY,AV,N,Y,Canada
I,484AE1,Discus Bt,PH-1029,AV,Y,Y,Netherlands
F,DDA823,portableUnit,OK-XXX,AV,Y,Y,Czech Republic
I,F6FF4B,Cirrus,D-3691,AV,Y,Y,Germany
F,DDDC09,ASK-13,F-CEAV,AV,Y,Y,France
F,DD83CC,Cessna 305,I-EIAV,AV,N,Y,Italy
I,A7C556,ASW-28,N60EM,AV,Y,Y,United States
F,DDADA4,Ka-8,OO-ZAV,AV,Y,Y,Belgium
F,114341,Paraglider,AV,AV,Y,Y,Unknown
F,DD9836,Motorplane,F-PDAV,AV,Y,Y,France
F,44016E,DR400,OE-DFO,AV1,Y,Y,Austria
F,000991,Motorglider,N135GS,AV8,Y,Y,United States
I,000843,AMS-Flight Carat,N135GS,AV8,Y,Y,United States
I,405975,ASW27,G-CKBX,AV8,Y,Y,United Kingdom
F,C76B0C,Carat,N135GS,AV8,Y,Y,United States
F,DDEDE7,LS 7 neo,D-6414,AVA,N,Y,Germany
F,DF26EB,LS 7 neo,D-6414,AVA,Y,Y,Germany
F,DDE3CF,T34A Sky,AVL,AVL,Y,Y,Unknown
I,C0022E,Piper,C-GAVL,AVL,Y,Y,Canada
F,DD8AB5,Grob Twin Astir I,I-IVAC,AVS,Y,Y,Italy
I,5A5641,Grob Twin Astir I,I-IAVS,AVS,N,Y,Italy
F,C767DC,Zuni,N24MZ,AVZ,Y,Y,United States
F,DDBBB3,LS-3,D-2825,AW,Y,Y,Germany
F,DDF0E6,ASH 31 Mi,D-KAZA,AW,Y,Y,Germany
F,DDBC60,Ventus CT,OK-0456,AW,Y,Y,Czech Republic
F,DDE7C9,LibelleStd.,D-2951,AW,Y,Y,Germany
F,DDDF8B,Mosquito B,D-7682,AW,Y,Y,Germany
I,4B51CA,ASW-28,HB-3363,AW,Y,Y,Switzerland
I,A56FD8,ASW-27,N45AW,AW,N,Y,United States
F,D0202E,Discus 2c FES,D-KKAW,AW,Y,Y,Germany
F,D01F05,ASW20,D-1731,AW,Y,Y,Germany
I,3EC3A2,ASH 31 Mi/21m,D-KPAW,AW,Y,Y,Germany
F,DDFA40,Piccolo B,D-KTAW,AW,Y,Y,Germany
F,D00A07,Ventus b,D-3188,AW,Y,Y,Germany
F,DD9417,Twin-Astir,OE-5660,AW,Y,Y,Austria
I,4403C4,Experimental,OE-AWS,AWS,Y,Y,Austria
I,3E693B,Arcus T,D-KFAX,AX,N,Y,Germany
F,DDA4B3,DG-1000,D-1073,AX,Y,Y,Germany
F,DD9FC2,ASW 24,D-5241,AX,Y,Y,Germany
F,DDBFD8,Nimbus 2,OK-8600,AX,Y,Y,Czech Republic
F,D01F8A,Duo Discus xlt,D-KTAX,AX,Y,Y,Germany
F,DDDF8C,ASH-25,D-KSAX,AX,N,Y,Germany
F,DD86BC,Aerospool WT-9 Dynamic,D-MHAX,AX,Y,Y,Germany
F,DDFAD8,Different Aircrafts,F-AXXX,AX,Y,Y,France
F,3E5241,ASW 24,D-5241,AX,Y,Y,Germany
I,A1DF2B,Std. Cirrus,N22FF,AX,Y,Y,United States
F,DDAB89,Discus,D-8126,AX,Y,Y,Germany
F,DDF0EE,JS-3,D-KSTM,AX,Y,Y,Germany
F,4CC475,LS8,TF-SAX,AX,Y,Y,Iceland
I,3EC3A3,Arcus M,D-KPAX,AX,Y,Y,Germany
F,DF00A8,Ventus 2cM,C-GNEO,AX1,Y,Y,Canada
I,4B4E29,DG-808C,HB-32434,AXA,Y,Y,Switzerland
F,DDEEEF,DG-808 C,HB-2434,AXA,Y,Y,Switzerland
F,ACCB5F,Arcus M,N923XC,AXC,Y,Y,United States
F,C0470F,Cessna 305A,C-GAXQ,AXQ,Y,Y,Canada
F,3ED9E4,JS3 RES,D-KXMA,AX²,Y,Y,Germany
F,D006B5,motorglider,D-KPPP,AY,Y,Y,Germany
F,DF22D5,PIK20B,VH-GAY,AY,Y,Y,Australia
F,DD9C58,Discus bT,OE-9378,AY,Y,Y,Austria
F,DDA41E,DG505 20m,D-6505,AY,Y,Y,Germany
F,DDAB51,DG600,D-2664,AY,Y,Y,Germany
F,DD9F98,Cirrus Std,OK-1149,AY,Y,Y,Czech Republic
I,7C1E78,PIK 20B,VH-GAY,AY,Y,Y,Australia
I,3EFC67,ASG 29Es - 18m,D-KAYP,AY,Y,Y,Germany
I,3E5E6F,ASG 29Es,D-KAYP,AY,Y,Y,Germany
I,3EE710,ASW-20,D-1657,AY,Y,Y,Germany
F,DDF0B8,Discus 2b,D-8382,AY,Y,Y,Germany
F,3FEA71,Dynamic WT9,D-MDYA,AYA,Y,Y,Germany
F,DD88E8,Astir CS,D-7449,AZ,Y,Y,Germany
F,DDDF2F,ASH-25,F-CHAZ,AZ,Y,Y,France
I,3D21CD,DR-300,D-ELAZ,AZ,Y,Y,Germany
F,DDAA09,Motorglider,D-XXAZ,AZ,Y,Y,Germany
I,A32E46,304CZ,N304AZ,AZ,Y,Y,United States
F,DD93F8,Discus,D-4321,AZ,N,Y,Germany
I,4AD545,Glider,SE-UJE,AZ,Y,Y,Sweden
F,3E6151,Arcus M,D-KXYZ,AZ,N,Y,Germany
F,A190C4,Ventus A,N20MG,AZ,Y,Y,United States
F,D020FB,LAK-17C FES,D-KFAZ,AZF,Y,Y,Germany
F,DDE98F,Discus 2cT,D-KSAC,Ac1,Y,Y,Germany
I,3E5C30,Arcus M,D-KACM,Ac2,Y,Y,Germany
F,4B4BC2,DG-300 Elan,HB-1819,AeB,Y,Y,Switzerland
F,DD0867,LS6 WL,D-1249,Ai,Y,Y,Germany
F,DDAFE9,LS6,D-6206,Amy,Y,Y,Germany
F,3EC4B1,ASH31MI,D-KSKL,Aufwind,N,Y,Germany
F,D02CC0,JS3 RES,OY-XBM,B,Y,Y,Denmark
F,DD99A2,Ventus 2,G-HLMB,B,N,Y,United Kingdom
F,DF08A4,Hornet - C,D-2977,B,Y,Y,Germany
I,D01012,JS 3,OE-9517,B,Y,Y,Austria
I,4060A2,Ventus 2,G-HLMB,B,Y,Y,United Kingdom
F,DDDF59,Janus B,SP-4222,B,Y,Y,Poland
F,485B4F,ASH30MI,PH-1621,B,Y,Y,Netherlands
F,DDD215,LS4 neo,D-3484,B,Y,Y,Germany
F,DDAE6B,ASK-21,D-4708,B08,Y,Y,Germany
I,ACD57F,LS-6,N926LS,B1,N,Y,United States
F,DDEFD3,Ventus 2CXT,D-KEUB,B1,N,Y,Germany
I,3E7EE6,HPH 304MS Shark,D-KNGG,B1,Y,Y,Germany
F,DDB1B6,LS-4,D-8490,B1,Y,Y,Germany
F,DD8EE7,DG-100,D-2582,B1,N,Y,Germany
F,DDFE75,Grob Twin Astir II,OO-YBY,B1,Y,Y,Belgium
F,DDE23C,LAK17BT,F-CLHA,B1,Y,Y,France
F,D0161E,Pégase,D-8639,B1,Y,Y,Germany
F,DD8A89,ASK21,D-5663,B1,Y,Y,Germany
F,3E7132,Ventus,D-KIBI,B1,Y,Y,Germany
F,DDED53,ASH-26 E,D-KASW,B1,Y,Y,Germany
F,DD9D0F,ASK-21,D-4514,B1,Y,Y,Germany
F,DD9187,LS4,D-3312,B1,Y,Y,Germany
F,DDAB64,DG 1001S,D-2371,B1,Y,Y,Germany
F,DF08C6,Discus 2c,D-2340,B1,Y,Y,Germany
F,DF250C,SZD-41a Jantar Standard,N72AS,B1,Y,Y,United States
F,DF0ADF,DG-1000,D-7113,B1,Y,Y,Germany
I,4055F7,Std. Cirrus,G-CHZU,B11,Y,Y,United Kingdom
F,DD9F81,DG-300,D-3675,B17,Y,Y,Germany
I,4B4E33,ASW-28t,HB-2444,B18,Y,Y,Switzerland
F,D01569,ASW19B,G-CJRV,B19,Y,Y,United Kingdom
F,DDBD9E,LAK 17 AT,OK-1507,B2,Y,Y,Czech Republic
I,4B4E0F,Ventus2cxM,HB-2408,B2,Y,Y,Switzerland
F,DDB5C5,LS-4,D-3114,B2,N,Y,Germany
F,DDAC7A,LS4 b,D-5168,B2,Y,Y,Germany
F,DD9B33,LS-4,D-3153,B2,Y,Y,Germany
F,DDD56F,Discus bT,D-KMFE,B2,Y,Y,Germany
F,DDC301,Nimbus 3,D-3151,B2,N,Y,Germany
F,D0270D,ASK-23,D-5336,B2,Y,Y,Germany
F,D02A7A,Glider,D-4853,B2,Y,Y,Germany
I,AD9F60,ASK-21,N977TS,B21,N,Y,United States
F,A21351,PEGASE,F-CGFB,B213,Y,Y,France
I,4B51D1,ASW-28 18,HB-3370,B28,Y,Y,Switzerland
F,DDB5DA,ASK-21,D-4745,B3,N,Y,Germany
I,7C4A44,JS-1 Revelation,VH-OYE,B3,Y,Y,Australia
F,D0250E,ASK-21,D-3928,B3,Y,Y,Germany
F,DDED4C,ASG-29E,G-CKRD,B3,N,Y,United Kingdom
F,DDA836,DG-300,D-2751,B3,Y,Y,Germany
F,DD88F1,ASW-27,D-6457,B3,N,Y,Germany
I,48C212,Jantar Standard 2 (SZD 48-1),SP-3212,B3,Y,Y,Poland
F,DD9286,Discus 2,D-7348,B3,Y,Y,Germany
F,DDC198,Discus,I-CHRS,B33,Y,Y,Italy
I,DDAE8B,Pegase90,F-CHEC,B381,Y,Y,France
F,DF245E,LS 4,D-1286,B4,Y,Y,Germany
F,DD857F,LS-4,D-5185,B4,Y,Y,Germany
F,DDA7E8,Grob Twin Astir III,OO-YBX,B4,Y,Y,Belgium
F,DDFD39,Pilatus B4,G-CKSK,B4,Y,Y,United Kingdom
F,DDB599,DG-1000,D-1041,B4,N,Y,Germany
I,F71699,Grob Twin Astir III,PH-1001,B4,Y,Y,Netherlands
F,DF03FE,Duo Discus,F-CJCP,B4,Y,Y,France
F,DDEF04,LS-4,D-2819,B4,Y,Y,Germany
I,A584C9,Let L-23 Super Blanik,N455BA,B4,Y,Y,United States
I,AA687D,ASW-27,N77UN,B4,Y,Y,United States
F,0081E2,JS1b Revelation,ZS-GCE,B5,Y,Y,South Africa
F,DF296B,HPH 304 C,D-9951,B5,Y,Y,Germany
F,DDA45D,Glasfluegel 304,D-9951,B5,N,Y,Germany
F,DD003D,Discus,D-2550,B5,N,Y,Germany
I,C051A0,ASW 20C Glider,C-GEXR,B5,Y,Y,Canada
F,DDEF09,LS-4,D-2144,B5,Y,Y,Germany
I,A31703,Glider,N299BA,B5,Y,Y,United States
F,DD946D,Pegase,EC-JPI,B51,Y,Y,Spain
F,DDA547,ASK21,D-5752,B52,Y,Y,Germany
F,DD8590,LS-1,OY-MKX,B6,Y,Y,Denmark
F,A3212F,DG 300,300VB,B6,Y,Y,Unknown
F,3E60BE,Duo Discus T WL,D-KBVI,B6,Y,Y,Germany
F,DD8A1C,Astir CS,D-7855,B6,Y,Y,Germany
F,D02ACC,LS3,B6,B6,Y,Y,China
F,DF22D7,ASK21,D-4680,B6,Y,Y,Germany
F,DD8F0B,LS-4,D-8030,B6,N,Y,Germany
I,38EC7B,Pegase C101,F-CHGZ,B632,Y,Y,France
F,DDBBA0,DG 300,D-5603,B7,Y,Y,Germany
F,DDB5B8,LS-4,D-2942,B7,N,Y,Germany
F,DD9322,SZD-51 Junior,D-3287,B7,Y,Y,Germany
I,A35BBC,ASH-31mi,N3150,B7,Y,Y,United States
I,A9972A,Discus B,N717MJ,B7,Y,Y,United States
F,DF23DF,Discus CS,D-8400,B8,Y,Y,Germany
I,4B4E5E,Discus 2cT,HB-2487,B8,Y,Y,Switzerland
F,DDA89D,ASW19B,OK-7966,B8,Y,Y,Czech Republic
F,DD95E5,SZD-51 Junior,D-0048,B8,Y,Y,Germany
F,DDFAAE,Pegase,F-CHEG,B85,Y,Y,France
I,A7C2EC,Stemme S10,N60AF,B9,N,Y,United States
F,DF2967,ASW 19,D-6529,B9,Y,Y,Germany
F,DD9802,ASK 23,D-5073,B9,Y,Y,Germany
F,1465CF,ASW19b,D-2725,B9,Y,Y,Germany
I,D002AD,LAK19,D-6657,B9,Y,Y,Germany
F,DDAA3D,LS-4,D-3455,B9,N,Y,Germany
I,AC28D7,ASG-29,N8829A,B9,Y,Y,United States
F,DD91E4,ASK 23,D-5073,B9,Y,Y,Germany
F,DDEE07,LS-4,D-1560,B9,Y,Y,Germany
I,40597B,Std Libelle,G-CHJR,B9,Y,Y,United Kingdom
F,DDD93A,LibelleStd.,G-CHJR,B9,Y,Y,United Kingdom
I,3D11F6,C152,D-EFBA,BA,Y,Y,Germany
F,DDA325,ASK-23,D-9823,BA,N,Y,Germany
F,DDAE29,ASK 21,D-5618,BA,Y,Y,Germany
F,DD98EF,Discus 2c,BA,BA,N,Y,China
I,DDEDE1,DuoDiscus,OE-5745,BA,Y,Y,Austria
F,3E6152,ASH31MI,D-KCBA,BA,Y,Y,Germany
F,D00BE4,LS-6 18W,G-CVBA,BA,Y,Y,United Kingdom
I,406B02,LS6-18W,G-CVBA,BA,Y,Y,United Kingdom
I,A300B9,Blanik L-23,N293BA,BA,Y,Y,United States
I,4B3A32,DynAero MCR-01,HB-WBA,BA,Y,Y,Switzerland
F,C81743,DG-300,ZK-GBA,BA,Y,Y,New Zealand
I,3E62BE,ASH26E,D-KCPA,BA,Y,Y,Germany
I,A999E1,ASW-27B,N718BC,BA,Y,Y,United States
F,DDA5B8,MIDOUR,F-PCBA,BA,Y,Y,France
I,3EB6E2,Taifun17EII,D-KGBA,BA,Y,Y,Germany
I,3E7672,DG400,D-KKBA,BA,Y,Y,Germany
F,DDD53D,ASW24,D-123456789,BA,Y,Y,Germany
I,DF25B7,Mosquito B,D-2728,BA,Y,Y,Germany
F,DDA8F8,GROUND STATION,F-ACBA1,BA1,Y,Y,France
F,D0961F,GROUND STATION,F-ACBA2,BA2,Y,Y,France
F,DDA5BE,ASW-20,D-8632,BAS,N,Y,Germany
F,DDBA88,Ditto base,B-ASE,BASE,N,Y,China
F,DDEAA0,JS1a,ZS-GCP,BAT,Y,Y,South Africa
F,3E5EA8,ASH26E,D-KBAU,BAU,Y,Y,Germany
F,DD9B24,Duo Discus xt,D-KXBB,BB,Y,Y,Germany
I,3ECE37,DG800B,D-KTBB,BB,Y,Y,Germany
I,3EFA77,ASW 20C,D-6624,BB,Y,Y,Germany
I,AB5875,ASH-31 Mi,N830BB,BB,Y,Y,United States
F,DD84FA,Puchacz,D-3111,BB,Y,Y,Germany
F,DDEAA2,PIK 20E,D-KCBB,BB,Y,Y,Germany
F,DDDC47,LS-1 f,OY-SMX,BB,Y,Y,Denmark
F,D0092D,HPH 304 eS,D-KAAQ,BB,Y,Y,Germany
F,DD8723,DG 300,D-4662,BB,Y,Y,Germany
F,009049,JS-1 Revelation,ZS-GDS,BB,Y,Y,South Africa
I,AB4AF7,ASW-27,N827BB,BB,Y,Y,United States
F,DDA6E4,LS-1 f,D-7332,BB,N,Y,Germany
F,DDF052,ASH-25,EC-OGX,BB,Y,Y,Spain
F,DDF992,ALLIANCE 34,F-CJBB,BB,Y,Y,France
I,10154A,Kestrel,OE-0967,BB,Y,Y,Austria
F,D00FB8,Duo Discus XLT,D-KUBB,BB,Y,Y,Germany
F,D02B81,Diana 2,SP-2697,BB,Y,Y,Poland
F,DDE59C,Janus,SE-UOB,BB,N,Y,Sweden
F,DDD856,Pegase,F-CGBB,BB,Y,Y,France
F,DD854B,G109b,D-KBBB,BB,Y,Y,Germany
F,DD8F0C,DuoDiscusXT,D-KXBB,BB,Y,Y,Germany
F,DF2489,LS 8,D-1507,BB,Y,Y,Germany
F,D017F4,DG800S,D-8048,BC,Y,Y,Germany
I,A88A7D,ASH-31 Mi,N65BC,BC,Y,Y,United States
F,DDBB08,DG-800,D-8048,BC,N,Y,Germany
F,DF20B2,Discus 2cFES,D-KFBC,BC,Y,Y,Germany
F,DDC2A1,Grob Twin Astir I,D-2276,BC,N,Y,Germany
F,DDF108,LS-4,D-3144,BC,Y,Y,Germany
F,3EE28F,"Cirrus VTC 17,74",D-0504,BC,Y,Y,Germany
F,DDD962,Pegase,F-CGBC,BC,Y,Y,France
F,DDC446,Robin DR 300/180 R,D-EJBC,BC,Y,Y,Germany
I,C05BB3,Mosquito,C-GISW,BC,Y,Y,Canada
F,DDAF3D,Nimbus2B,D-8106,BC,Y,Y,Germany
F,DDA261,ASW-24 E,D-KHBC,BC,N,Y,Germany
I,3E5F89,Nimbus 4DM,D-KBJL,BC,Y,Y,Germany
I,485839,Discus bt,PH-1598,BC,Y,Y,Netherlands
I,4B4DC1,ASH-26 E,HB-2330,BC,N,Y,Switzerland
F,7C0562,Pawnee,BCK,BCK,Y,Y,China
I,A81401,ASW-24,N62BD,BD,Y,Y,United States
F,DDEFCF,ASW 28-18,D-2228,BD,Y,Y,Germany
F,D02040,Arcus M,PH-1498,BD,Y,Y,Netherlands
I,485095,Arcus M,PH-1498,BD,Y,Y,Netherlands
F,3E63F9,Scheibe SF25E Falke,D-KDBD,BD,Y,Y,Germany
I,A6355B,Stemme S10-VT,N5BD,BD,Y,Y,United States
F,DDEA84,Arcus M,PH-1498,BD,Y,Y,Netherlands
I,007649,dg400,F-CFVG,BD,Y,Y,France
F,DDF16E,Discus,D-1725,BD,Y,Y,Germany
I,DDF024,DG 600,D-8603,BD,Y,Y,Germany
I,3E6E89,DG 808B,D-KHBD,BD,Y,Y,Germany
F,DDABF0,ASK21,D-2488,BD,Y,Y,Germany
F,DDA5EE,ASK 21,D-8921,BD,Y,Y,Germany
F,D00A9D,Duo Discus,BD,BD,N,Y,China
F,DDEDFA,LS-9,HB-2468,BD,N,Y,Switzerland
F,DDDE8A,DG-1000,D-1310,BD,Y,Y,Germany
I,ADA8D0,Ventus 2bx,N98AE,BDE,Y,Y,United States
F,DDE400,T21,BDM,BDM,Y,Y,China
I,3D07AC,DA40-180,D-EBDS,BDS,Y,Y,Germany
F,D02A9A,ASH25 Mi,D-KBDU,BDU,Y,Y,Germany
I,3919FB,Glider,F-CUBE,BE,Y,Y,France
I,3EEDDC,Ls4a,D-3397,BE,Y,Y,Germany
I,3E7BBE,Ventus 2cM,D-KMBE,BE,Y,Y,Germany
F,DDB0F3,LS-1,D-0449,BE,N,Y,Germany
I,A33971,ASH 30Mi,N307BE,BE,Y,Y,United States
F,DF0AE9,Glider,F-CUBE,BE,Y,Y,France
I,384C24,DR300,F-BTBE,BE,N,Y,France
I,F78077,LS-1,D-0449,BE,N,Y,Germany
F,DD9A61,ASK21,BE,BE,N,Y,China
I,A95FD1,Ventus C,N703BE,BE,Y,Y,United States
F,DDEF01,Arcus T,D-KBBE,BE,Y,Y,Germany
F,3E7676,DG-808C,D-KKBE,BE,Y,Y,Germany
I,C82950,Glider,ZK-GBE,BE,Y,Y,New Zealand
F,DDAD38,LS-4,D-3397,BE,N,Y,Germany
F,DDDD33,DG-300,PH-1556,BEN,Y,Y,Netherlands
F,111007,Paraglider,B-ERNI,BER,Y,Y,China
F,DDF0FA,ASG 29e,D-KNEV,BER,Y,Y,Germany
F,1133F7,Paraglider,B-ERNI,BER,Y,Y,China
F,DDED63,Arcus M,ZK-GBF,BF,Y,Y,New Zealand
F,DDA286,LS 4,BF,BF,N,Y,China
F,D00558,Duo Discus XL,D-8380,BF,Y,Y,Germany
I,A588CF,Ventus 3M,N456EE,BF,Y,Y,United States
F,DDD8A1,DG-600,F-CLBF,BF,N,Y,France
F,AC21AB,Arcus M,N811BF,BF,Y,Y,United States
F,D00EAE,EB28 edition,D-KBBF,BF,Y,Y,Germany
F,DDA64E,ASW-20,D-6749,BF,N,Y,Germany
F,DF123F,DG-600 / 18,F-CLBF,BF,Y,Y,France
F,A0CF7D,Stemme S12,N151SG,BF,Y,Y,United States
F,DDE486,ASK-21,G-CKKP,BF1,Y,Y,United Kingdom
I,4B4E4E,Arcus M,HB-2471,BF1,Y,Y,Switzerland
F,DDD5AB,Cessna 152,G-BHDM,BF2,N,Y,United Kingdom
I,FE1178,BF2-55-U,D-1512,BF2,Y,Y,Germany
I,4B5237,DG-1000,HB-3472,BF2,Y,Y,Switzerland
I,4B5238,DG-1000,HB-3473,BF3,Y,Y,Switzerland
I,4B4F19,AS34Me,HB-2674,BF4,Y,Y,Switzerland
F,DDD5AA,Cessna 152,G-BNUL,BFC,N,Y,United Kingdom
I,A5EEE0,DG-808 B,N4811W,BG,Y,Y,United States
F,DD51FB,DISCUS CS,F-CMAS,BG,Y,Y,France
F,DDEBDA,Discus,F-CMAS,BG,Y,Y,France
I,DDF089,Ventus 3M,D-KJBG,BG,Y,Y,Germany
F,DD915D,CIRRUS 18m,OE-0875,BG,Y,Y,Austria
F,C75D0C,Grob 103,N422BG,BG,Y,Y,United States
F,DDB2D0,LAK-17 AT,D-KYBG,BG,N,Y,Germany
I,3D3450,Cessna 172,D-ESBG,BG,Y,Y,Germany
F,3EC3AC,Arcus M,D-KPBG,BG,Y,Y,Germany
F,DD874E,Ventus 3M,D-KJBG,BG,Y,Y,Germany
F,DDB5C6,Duo Discus,D-1831,BG,N,Y,Germany
F,DDDE7F,DG-808 C,D-KMUF,BG,N,Y,Germany
F,D00556,Ventus 3M,D-KJBG,BG,Y,Y,Germany
F,D02166,Duo Discus T,OO-YBG,BG,Y,Y,Belgium
F,DD8E67,LS4,D-3124,BG,Y,Y,Germany
I,4B4C35,DG-300,HB-1934,BG,Y,Y,Switzerland
F,DDBAD0,Duo Discus,OO-YBG,BG,Y,Y,Belgium
I,ACCD26,G103,N924BG,BG,Y,Y,United States
F,D02163,Ventus 3T,D-KVBG,BG,Y,Y,Germany
F,DDAA53,ASK-13,F-CLBG,BG,Y,Y,France
F,D00E0B,LS8,D-9669,BG,Y,Y,Germany
F,DD8396,Astir Club IIIB,SP-4455,BG,Y,Y,Poland
F,DD85F7,Kestrel,D-2199,BH,N,Y,Germany
F,DDC3F4,HK36 Super Dimona,D-KEBH,BH,Y,Y,Germany
F,DDA7EB,RF-4,D-KABH,BH,Y,Y,Germany
F,DDD583,DG-303,OE-5612,BH,Y,Y,Austria
F,D00964,ASK 21,D-0242,BH,Y,Y,Germany
F,DD9760,DG-303,OE-5612,BH,Y,Y,Austria
I,3D0CB5,C-182 RG,D-EDBH,BH,Y,Y,Germany
F,DDF011,Ventus 2cxM,D-KHBH,BH,N,Y,Germany
F,DD927B,Grob Astir CS,D-7301,BH,N,Y,Germany
F,DDEF0A,Ventus 2,ZK-GBH,BH,Y,Y,New Zealand
F,DF0925,Robin DR 400,D-EGBH,BH,Y,Y,Germany
F,DDF8D4,Discus CS,OY-XUB,BH,Y,Y,Denmark
F,D00B06,Diana2,SP-GAVC,BH,Y,Y,Poland
I,3D14A1,Robin DR 400,D-EGBH,BH,Y,Y,Germany
F,39016F,WT9,F-JDBH,BH,Y,Y,France
F,DF09E6,Ventus 2cxM,D-KLBH,BH,N,Y,Germany
I,0D0999,Kestrel 17,D-0999,BH,Y,Y,Germany
F,DDA869,LS-4,D-5180,BH,N,Y,Germany
F,DDB591,LAK-17 A,OBH,BH,N,Y,Peru
