devices/device_type,devices/device_id,AIRCRAFT_MODEL,REGISTRATION,CN,devices/tracked,devices/identified,devices/aircraft_type,COUNTRY
F,DDD908,Discus bT,D-KHJC,JC,Y,Y,1,Germany
F,DF1873,Janus C,D-5080,JC,Y,Y,1,Germany
F,D02A36,miniLAK FES,D-KMJC,JC,Y,Y,1,Germany
F,DDB0E4,Ka-8,F-CEJC,JC,Y,Y,1,France
F,DDD2E4,LS-6 18,ZS-GXY,JCB,Y,Y,1,South Africa
F,D0330D,LS-6,ZS-GXY,JCB,Y,Y,1,South Africa
F,4052CB,PW-5,G-CJCG,JCG,Y,Y,1,United Kingdom
F,DDE39F,Astir CS,G-CJCR,JCR,Y,Y,1,United Kingdom
F,DF01B5,LS-4,C-GJCR,JCR,Y,Y,1,Canada
F,D009D6,Cirrus Std,G-CJCU,JCU,Y,Y,1,United Kingdom
F,40577A,Discus bT,G-CJCX,JCX,Y,Y,1,United Kingdom
F,C05CBA,SZD-50 Puchacz,C-GJCZ,JCZ,Y,Y,1,Canada
F,DDC40B,DG-500,F-CHJD,JD,Y,Y,1,France
F,D00151,Cirrus Std,C-GHJD,JD,Y,Y,1,Canada
F,D02AF1,Ventus,D-5063,JD,Y,Y,1,Germany
F,DDF978,Ka-8,F-CEJD,JD,Y,Y,1,France
I,A32EFA,HPH 304CZ-17,N304JD,JD,Y,Y,1,United States
F,D00D35,ASW-20,D-9890,JD,Y,Y,1,Germany
F,DDD950,Janus C,F-CYJD,JD,Y,Y,1,France
F,405BAE,Libelle Std,G-DCMW,JD,Y,Y,1,United Kingdom
F,DDFD8F,Duo Discus,F-CJYD,JD,Y,Y,1,France
F,F91642,SF-28,C-FZJD,JD,Y,Y,1,Canada
F,DF0A23,LS-7,D-1674,JD,Y,Y,1,Germany
F,DD9ABA,Cirrus Std,F-CTJD,JD,Y,Y,1,France
F,D02791,Discus 2,D-9122,JD,Y,Y,1,Germany
I,7C75B7,DG-400,VH-XJD,JD,Y,Y,1,Australia
F,405C37,DG-200,G-CJDD,JDD,Y,Y,1,United Kingdom
F,DE02CA,Sinus,F-JEPL,JDI,Y,Y,1,France
F,405958,ASW-15,G-CJDM,JDM,Y,Y,1,United Kingdom
F,D01F7C,DG-200,G-CJDP,JDP,Y,Y,1,United Kingdom
F,405422,DG-303,G-CJDV,JDV,Y,Y,1,United Kingdom
F,DDEDBB,Discus,D-8516,JE,Y,Y,1,Germany
F,DDBB0D,Cirrus Std,OK-3210,JE,Y,Y,1,Czech Republic
F,DDD238,ASW-20,OY-XJE,JE,Y,Y,1,Denmark
F,DDB59E,Discus,VH-GJE,JE,Y,Y,1,Australia
F,DD8E30,SZD-50 Puchacz,G-CJEC,JEC,Y,Y,1,United Kingdom
F,405931,ASW-24,G-CJEL,JEL,Y,Y,1,United Kingdom
I,A29DCA,Silent 2 Electro,N268MB,JEN,Y,Y,1,United States
F,D01878,LS-4,G-CJEP,JEP,Y,Y,1,United Kingdom
I,4069EC,HPH 304S Shark,G-WJET,JET,Y,Y,1,United Kingdom
F,DDAF0F,Ventus,OK-3383,JET,Y,Y,1,Czech Republic
F,D0136C,Ventus ct,G-NJET,JET,Y,Y,1,United Kingdom
F,DD514D,ASW-20,F-CGCN,JF,Y,Y,1,France
F,DDC45C,ASK-13,F-CLJF,JF,Y,Y,1,France
F,D00CD6,Ventus 2cxM,D-KALI,JF,Y,Y,1,Germany
F,3EFA48,ASW-20,D-6577,JF,Y,Y,1,Germany
F,4B4B24,Nimbus 3,HB-1661,JF,Y,Y,1,Switzerland
F,DD516D,Duo Discus t,G-DDJF,JF,Y,Y,1,United Kingdom
F,3E5F83,Ventus ct,D-KBJF,JF,Y,Y,1,Germany
I,3EE1D9,LS-6,D-0322,JF,Y,Y,1,Germany
F,DD8727,ASW-19,D-6640,JF,Y,Y,1,Germany
F,DDEF58,Speed Astir II,D-8721,JF,Y,Y,1,Germany
F,3E744A,Ventus 3M,D-KJFU,JF,Y,Y,1,Germany
F,3844FB,Ventus 2ct,F-CIJF,JF,Y,Y,1,France
F,DDD91A,Glasflugel H301,D-3337,JF,Y,Y,1,Germany
F,DDA30B,Libelle Std,D-0914,JF,Y,Y,1,Germany
F,DDABF9,Duo Discus t,G-DDJF,JF,Y,Y,1,United Kingdom
