devices/device_type,devices/device_id,AIRCRAFT_MODEL,REGISTRATION,CN,devices/tracked,devices/identified,devices/aircraft_type,COUNTRY
O,29C622,UFO,EC-AC1,AC1,Y,Y,6,Spain
F,DDA5AA,LS-4,D-4543,AC2,Y,Y,1,Germany
O,2ADD43,UFO,EC-AC2,AC2,Y,Y,6,Spain
O,359C45,UFO,EC-AC3,AC3,Y,Y,6,Spain
O,C9C26C,UFO,EC-AC5,AC5,Y,Y,6,Spain
O,CDDD34,UFO,EC-AC6,AC6,Y,Y,6,Spain
F,C12D63,UFO,EC-AC7,AC7,Y,Y,6,Spain
O,8A0749,UFO,EC-ACA,ACA,Y,Y,6,Spain
O,89FCD9,UFO,EC-ACB,ACB,Y,Y,6,Spain
O,740948,UFO,EC-ACC,ACC,Y,Y,6,Spain
O,89F9AD,UFO,EC-ACD,ACD,Y,Y,6,Spain
O,8E251D,UFO,EC-ACE,ACE,Y,Y,6,Spain
O,C42264,UFO,EC-ACF,ACF,Y,Y,6,Spain
O,E672BC,UFO,EC-ACG,ACG,Y,Y,6,Spain
O,E66E0C,UFO,EC-ACH,ACH,Y,Y,6,Spain
O,88E1F8,UFO,EC-ACJ,ACJ,Y,Y,6,Spain
O,3D417C,UFO,EC-ACL,ACL,Y,Y,6,Spain
I,4B4332,Robinson R44,HB-ZTX,ACM,Y,Y,4,Switzerland
O,C423BC,UFO,EC-ACM,ACM,Y,Y,6,Spain
I,3EFD87,Duo Discus,D-7408,ACM,Y,Y,1,Germany
F,DD9B0E,Duo Discus,D-7408,ACM,Y,Y,1,Germany
O,60E6A0,UFO,EC-ACN,ACN,Y,Y,6,Spain
O,5C0545,UFO,EC-ACO,ACO,Y,Y,6,Spain
O,5AC4E8,UFO,EC-ACP,ACP,Y,Y,6,Spain
F,AA67E4,ASW-20,LV-EQY,ACP,Y,Y,1,Argentina
O,5AC4EC,UFO,EC-ACQ,ACQ,Y,Y,6,Spain
O,88E1C0,UFO,EC-ACR,ACR,Y,Y,6,Spain
O,88E23C,UFO,EC-ACS,ACS,Y,Y,6,Spain
I,48FC52,Bristell NG5,SP-SACT,ACT,Y,Y,2,Poland
I,C08998,Flight Design CTSW,C-IACT,ACT,Y,Y,3,Canada
O,60E679,UFO,EC-ACT,ACT,Y,Y,6,Spain
F,D0146C,Cessna 152,SP-KSN,ACZ,Y,Y,2,Poland
F,D0146B,Socata Rallye 235CA-M,SP-ACZ,ACZ,Y,Y,2,Poland
O,232C64,Mosquito,LY-KIM,AD,Y,Y,1,Lithuania
F,DDFDD9,SZD-48-3 Jantar Std 3,D-5952,AD,Y,Y,1,Germany
F,DDFAFC,ASK-21,D-2719,AD,Y,Y,1,Germany
F,D02CAD,Ventus c,OK-6666,AD,Y,Y,1,Czech Republic
F,D027F7,Pegase,SP-4466,AD,Y,Y,1,Poland
F,DF08A5,Ka-6 e,D-0434,AD,Y,Y,1,Germany
F,DF0E2E,LS-6,D-6263,AD,Y,Y,1,Germany
F,DD857D,ASK-23,D-8757,AD,Y,Y,1,Germany
O,24E228,PW-5,SP-3622,AD,Y,Y,1,Poland
F,C03230,ASH-31 MI,C-FTAD,AD,Y,Y,1,Canada
F,C07E85,Discus,C-GVXS,AD,Y,Y,1,Canada
I,3EE30B,LS-8 18,D-0628,AD,Y,Y,1,Germany
F,4054A9,Slingsby Vega 15m,G-EEAD,AD,Y,Y,1,United Kingdom
F,DDEBDF,Ventus c,OK-6666,AD,Y,Y,1,Czech Republic
F,DDFD59,Discus 2c,D-9679,AD,Y,Y,1,Germany
F,DD9C94,Janus B,F-CFAD,AD,Y,Y,1,France
F,DF26BE,Ventus,VH-GAD,AD,Y,Y,1,Australia
F,3ED0C3,ASH-30,D-KUAD,AD,Y,Y,1,Germany
F,DD4FA1,DG-200,LV-DOL,AD,Y,Y,1,Argentina
O,3E6E6F,Ventus 2cM,D-KHAD,AD,Y,Y,1,Germany
F,D017E9,ASW-20,D-2607,AD,Y,Y,1,Germany
O,FD7EA2,ASW-20,D-2607,AD,Y,Y,1,Germany
I,3E0F5D,EC 135,D-HXAB,ADA,Y,Y,4,Germany
I,3E0F76,EC 135,D-HXBA,ADA,Y,Y,4,Germany
I,3E0F77,EC 135,D-HXBB,ADA,Y,Y,4,Germany
I,3E046A,EC 135,D-HSWG,ADA,Y,Y,4,Germany
I,3E0D41,EC 135,D-HWFH,ADA,Y,Y,4,Germany
I,3DD7B4,EC 135,D-HBYA,ADA,Y,Y,4,Germany
I,3DD7B9,EC 135,D-HBYF,ADA,Y,Y,4,Germany
I,3DD7BB,EC 135,D-HBYH,ADA,Y,Y,4,Germany
I,3E0965,EC 135,D-HUTH,ADA,Y,Y,4,Germany
I,3E0F5E,EC 135,D-HXAC,ADA,Y,Y,4,Germany
I,3DF049,EC 135,D-HLGB,ADA,Y,Y,4,Germany
I,3DDD69,EC 135,D-HECF,ADA,Y,Y,4,Germany
F,D00628,EC 135,D-HXCB,ADA,Y,Y,4,Germany
I,3DF03F,EC 135,D-HLFR,ADA,Y,Y,4,Germany
I,3DDE7A,BK 117,D-HEMS,ADA,Y,Y,4,Germany
I,3DE53C,EC 135,D-HHBG,ADA,Y,Y,4,Germany
I,3DF926,EC 135,D-HOPI,ADA,Y,Y,4,Germany
I,3DE5FF,EC 135,D-HHIT,ADA,Y,Y,4,Germany
I,3DE71C,EC 135,D-HHTS,ADA,Y,Y,4,Germany
I,3DEB9F,EC 135,D-HJMD,ADA,Y,Y,4,Germany
I,3DEDA7,EC 135,D-HKGD,ADA,Y,Y,4,Germany
I,3DEF14,EC 135,D-HKUE,ADA,Y,Y,4,Germany
I,3DEFEA,EC 135,D-HLCK,ADA,Y,Y,4,Germany
I,3DF006,EC 135,D-HLDM,ADA,Y,Y,4,Germany
I,3E02ED,EC 135,D-HSHP,ADA,Y,Y,4,Germany
I,3E0F90,EC 135,D-HXCA,ADA,Y,Y,4,Germany
I,3E0F78,EC 135,D-HXBC,ADA,Y,Y,4,Germany
I,3E0F92,EC 135,D-HXCC,ADA,Y,Y,4,Germany
I,3E1215,BK 117,D-HYAV,ADA,Y,Y,4,Germany
I,3E1214,BK 117,D-HYAU,ADA,Y,Y,4,Germany
I,3E1213,BK 117,D-HYAT,ADA,Y,Y,4,Germany
I,3E1212,BK 117,D-HYAS,ADA,Y,Y,4,Germany
I,3E1211,BK 117,D-HYAR,ADA,Y,Y,4,Germany
I,3E1210,BK 117,D-HYAQ,ADA,Y,Y,4,Germany
I,3E0F91,EC 135,D-HXCB,ADA,Y,Y,4,Germany
I,3E120D,BK 117,D-HYAN,ADA,Y,Y,4,Germany
I,3E0F97,EC 135,D-HXCH,ADA,Y,Y,4,Germany
I,3E120E,EC 135,D-HYAO,ADA,Y,Y,4,Germany
I,3E0F93,EC 135,D-HXCD,ADA,Y,Y,4,Germany
I,3E0F96,EC 135,D-HXCG,ADA,Y,Y,4,Germany
I,3E0F94,EC 135,D-HXCE,ADA,Y,Y,4,Germany
I,3E0F95,EC 135,D-HXCF,ADA,Y,Y,4,Germany
I,3DF80C,EC 135,D-HOEM,ADA,Y,Y,4,Germany
I,505C82,WT10 Advantic,OM-ADB,ADB,Y,Y,3,Slovakia
I,505CEC,WT10 Advantic,OM-ADD,ADD,Y,Y,3,Slovakia
O,887260,Twin Astir II,N575AS,ADK,Y,Y,1,United States
I,C04504,Cessna 150,C-GADN,ADN,Y,Y,2,Canada
I,C0450A,Cessna 172,C-GADT,ADT,Y,Y,2,Canada
I,C04510,Cessna 152,C-GADZ,ADZ,Y,Y,2,Canada
I,395EBB,Ventus 2,F-CVOL,ADx,Y,Y,1,France
F,D00132,Ventus 2CXa,F-CVOL,ADx,Y,Y,1,France
F,DDE4AB,LS-4,EC-MFQ,AE,Y,Y,1,Spain
I,4B51FD,ASG-29,HB-3414,AE,Y,Y,1,Switzerland
F,D00E13,PW-5,LV-EPV,AE,Y,Y,1,Argentina
F,DD08E8,Flight Design CTSW,D-MFAE,AE,Y,Y,3,Germany
I,A8861D,Cirrus Std,N6486,AE,Y,Y,1,United States
O,F226C4,ASW-19,OK-5283,AE,Y,Y,1,Czech Republic
F,DDDEDA,Nimbus 4DM,CC-AAE,AE,Y,Y,1,Chile
I,A3C942,ASG-29,N343JG,AE,Y,Y,1,United States
F,DDC42F,Janus B,F-CFAE,AE,Y,Y,1,France
F,DD8754,ASW-19,D-4528,AE,Y,Y,1,Germany
F,3FEE67,Flight Design CTSW,D-MFAE,AE,Y,Y,3,Germany
F,DD8433,Janus C,F-CVAE,AE,Y,Y,1,France
F,DDDF49,Discus 2cT,OM-XXXX,AE,Y,Y,1,Slovakia
I,40613E,Eurostar EV97,G-HAEF,AEF,Y,Y,3,United Kingdom
I,44088E,EC 120,OE-XST,AEH,Y,Y,4,Austria
F,DDE7FB,PA-18 Super Cub,LN-AER,AER,Y,Y,2,Norway
O,480650,L 13 SEH Vivat,OM-9116,AF,Y,Y,1,Slovakia
F,DD52CD,Genesis 2,LV-X249,AF,Y,Y,1,Argentina
F,DDAA67,Duo Discus,D-2903,AF,Y,Y,1,Germany
O,C35002,LS-1 f,OK-9000,AF,Y,Y,1,Czech Republic
I,3EFC7D,Libelle Std,D-7142,AF,Y,Y,1,Germany
F,DDED5B,Nimbus 2,D-3783,AF,Y,Y,1,Germany
F,484EED,ASH-31 MI,PH-1470,AF,Y,Y,1,Netherlands
I,3D04AD,DA20 Katana,D-EAAF,AF,Y,Y,2,Germany
F,DDEFD0,Ventus 2,D-2659,AF,Y,Y,1,Germany
I,4B521A,ASG-29,HB-3443,AF,Y,Y,1,Switzerland
F,DD87E4,Elfe S4,D-9190,AF,Y,Y,1,Germany
F,DD8E5D,ASW-15,OE-5567,AF,Y,Y,1,Austria
O,C35001,LS-1 f,I-BISEK,AF,Y,Y,1,Italy
F,3EEDD9,LS-7,D-3394,AF,Y,Y,1,Germany
F,3E6E71,Ventus 3M,D-KHAF,AF,Y,Y,1,Germany
F,D0059A,LS-6,D-5840,AF,Y,Y,1,Germany
F,DDC2DD,Libelle Std,D-2159,AF,Y,Y,1,Germany
F,DDAFC6,SZD-22 Mucha Standard,F-AYAF,AF,Y,Y,1,France
F,DDC0FB,Nimbus 2,D-3783,AF,Y,Y,1,Germany
F,DD99E6,Janus B,F-CFAF,AF,Y,Y,1,France
F,DF265E,LS-3,D-1356,AF,Y,Y,1,Germany
F,D00DBE,Genesis 2,LV-EPU,AF,Y,Y,1,Argentina
F,C04E76,SZD-55,C-GDSN,AF1,Y,Y,1,Canada
I,C0452B,Cessna 150,C-GAFA,AFA,Y,Y,2,Canada
I,C0453C,Piper PA-22 Tripacer,C-GAFR,AFR,Y,Y,2,Canada
F,DD9417,Twin Astir I,OE-5660,AFW,Y,Y,1,Austria
F,DF0937,DG-800,D-KXAG,AG,Y,Y,1,Germany
F,D01971,LS-7,F-CNAG,AG,Y,Y,1,France
I,3E7BA6,SF-25,D-KMAG,AG,Y,Y,1,Germany
F,DDDC4D,Janus B,F-CFAG,AG,Y,Y,1,France
F,DF0E04,JS-1 C18 Evo,ZS-GZX,AG,Y,Y,1,South Africa
F,DD52A7,SZD-48-1 Jantar Std 2,LV-DLZ,AG,Y,Y,1,Argentina
F,D022DC,LS-6,D-2839,AG,Y,Y,1,Germany
F,4B480E,Ka-6 cr,HB-871,AG,Y,Y,1,Switzerland
F,DDE9AB,ASW-20,F-CJAG,AG,Y,Y,1,France
F,DDD88C,Nimbus 4DT,D-KHAG,AG,Y,Y,1,Germany
F,DDA7CC,LS-4,D-2700,AG,Y,Y,1,Germany
F,DD87C9,DG-100,D-5924,AG,Y,Y,1,Germany
F,DDF018,ASH-25,F-CHHO,AG,Y,Y,1,France
F,DDE9D0,Arcus M,D-KGAG,AG,Y,Y,1,Germany
F,DDEA94,ASH-25 MI,D-KSAG,AG,Y,Y,1,Germany
F,DD85A7,SF-25,D-KIAG,AG,Y,Y,1,Germany
F,7C1E66,Nimbus 4DM,VH-GAG,AG,Y,Y,1,Australia
F,DF21B0,JS-1 C21,N390JB,AG,Y,Y,1,United States
F,DD4F24,Pegase,SP-3962,AG,Y,Y,1,Poland
F,DF286E,ASW-20,F-CJAG,AG,Y,Y,1,France
F,DDE98F,LS-4 W,D-2700,AG,Y,Y,1,Germany
F,3E7902,AS 33,D-KLAG,AG,Y,Y,1,Germany
F,DD89C5,SF-25,D-KMAG,AG,Y,Y,1,Germany
F,D018F0,DR-400,I-VDAG,AG,Y,Y,2,Italy
F,DDA783,Nimbus 3DT,D-KBAG,AG,Y,Y,1,Germany
F,DD8946,Discus,D-1526,AG,Y,Y,1,Germany
F,D004B2,JS-3 15M,D-KLXE,AG,Y,Y,1,Germany
F,DD4F87,Piper J-3 Cub,F-JVZG,AGC,Y,Y,2,France
I,C0009F,Maule MX7-180A,C-FAGC,AGC,Y,Y,2,Canada
I,4B3E2C,EC 135,HB-XOE,AGL,Y,Y,4,Switzerland
I,4B435F,AS 350,HB-ZNJ,AGL,Y,Y,4,Switzerland
I,4B3E65,AS 350,HB-XQJ,AGL,Y,Y,4,Switzerland
I,4B4356,AS 350,HB-ZNA,AGL,Y,Y,4,Switzerland
I,4B42E5,EC 135,HB-ZIR,AGL,Y,Y,4,Switzerland
I,4B42D4,AS 350,HB-ZIA,AGL,Y,Y,4,Switzerland
I,4B42D2,AS 350,HB-ZHY,AGL,Y,Y,4,Switzerland
I,4B4271,EC 135,HB-ZEF,AGL,Y,Y,4,Switzerland
I,4B4211,AS 350,HB-ZAN,AGL,Y,Y,4,Switzerland
I,4B3EDF,AS 350,HB-XVB,AGL,Y,Y,4,Switzerland
I,4B3E2D,EC 135,HB-XOF,AGL,Y,Y,4,Switzerland
I,4B4367,AS 350,HB-ZNR,AGL,Y,Y,4,Switzerland
I,4B4251,AS 350,HB-ZCZ,AGL,Y,Y,4,Switzerland
I,4B441F,AS 350,HB-ZUT,AGL,Y,Y,4,Switzerland
F,DF13D5,AS 350,HB-ZAG,AGL,Y,Y,4,Switzerland
I,4B440E,EC 135,HB-ZUC,AGL,Y,Y,4,Switzerland
I,4B4414,EC 135,HB-ZUI,AGL,Y,Y,4,Switzerland
I,4B43C8,EC 135,HB-ZRK,AGL,Y,Y,4,Switzerland
I,C000AC,Cessna 182,C-FAGP,AGP,Y,Y,2,Canada
I,C0455E,PA-28,C-GAGZ,AGZ,Y,Y,2,Canada
F,DDD918,Discus t,F-CKAH,AH,Y,Y,1,France
I,3E6E73,Ventus 2cxM,D-KHAH,AH,Y,Y,1,Germany
F,D022B0,LS-1 f,VH-GAH,AH,Y,Y,1,Australia
F,DD986D,DR-400,D-EZAH,AH,Y,Y,2,Germany
F,3D46B3,DR-400,D-EZAH,AH,Y,Y,2,Germany
I,484753,DG-300,PH-776,AH,Y,Y,1,Netherlands
I,3EF4FD,ASW-27,D-5222,AH,Y,Y,1,Germany
F,A9E514,JS-3 18M RES,N737AH,AH,Y,Y,1,United States
F,DDBFD4,DG-300,PH-776,AH,Y,Y,1,Netherlands
F,DD9E55,Twin Astir III,D-1870,AH,Y,Y,1,Germany
F,DDD955,Janus B,F-CFAH,AH,Y,Y,1,France
F,3E6552,ASH-31 MI,D-KDOK,AH,Y,Y,1,Germany
F,3E5CA6,ASG-32 MI,D-KAHA,AH,Y,Y,1,Germany
F,DDEC3D,DG-300,OO-ZDK,AH,Y,Y,1,Belgium
F,DF23B3,Duo Discus,D-7978,AH,Y,Y,1,Germany
F,44E88B,DG-300,OO-ZDK,AH,Y,Y,1,Belgium
F,D008B7,ASW-19,OK-6602,AH,Y,Y,1,Czech Republic
I,3E613F,ASH-26 E,D-KCAH,AH,Y,Y,1,Germany
F,DDDE23,DG-600 18M,D-KAAH,AH,Y,Y,1,Germany
F,DDAF5A,Ventus,D-KOSR,AH,Y,Y,1,Germany
F,DDA6E0,LS-8,D-5653,AH,Y,Y,1,Germany
F,DDAF04,Ventus 2cM,D-KHAH,AH,Y,Y,1,Germany
F,DDF0E7,JS-1 C18 Evo,C-OUCOU,AH1,Y,Y,1,Canada
F,38C6FB,Arcus S,C-OUCOU,AH2,Y,Y,1,Canada
I,4B4348,Robinson R44,HB-ZMM,AHB,Y,Y,4,Switzerland
I,4B435A,Robinson R22,HB-ZNE,AHB,Y,Y,4,Switzerland
I,4B3F5B,Robinson R22,HB-XZV,AHB,Y,Y,4,Switzerland
I,4B3F50,Robinson R22,HB-XZK,AHB,Y,Y,4,Switzerland
I,4B438F,AS 350,HB-ZPF,AHB,Y,Y,4,Switzerland
I,4B43A3,Bell 206,HB-ZPZ,AHB,Y,Y,4,Switzerland
I,4B3F20,Bell 206,HB-XXO,AHB,Y,Y,4,Switzerland
I,4B4477,Robinson R44,HB-ZYD,AHB,Y,Y,4,Switzerland
I,4B3EE3,Bell 429,HB-XVF,AHB,Y,Y,4,Switzerland
I,4B4268,Robinson R44,HB-ZDW,AHB,Y,Y,4,Switzerland
O,39665C,Pioneer 300,F-JAHC,AHC,Y,Y,2,France
I,3FEF56,WT9 Dynamic,D-MXAI,AI,Y,Y,3,Germany
I,3EC0F0,JS-3 18M,D-KOAI,AI,Y,Y,1,Germany
F,DD83D4,Ka-8,OO-ZAI,AI,Y,Y,1,Belgium
F,DDFD23,Astir CS,F-CIAI,AI,Y,Y,1,France
F,DDDCC1,Astir Jeans,D-4832,AI,Y,Y,1,Germany
F,D0201B,AS 34Me,D-KCAI,AI,Y,Y,1,Germany
F,D02CF6,JS-3 18M RES,D-KABP,AI,Y,Y,1,Germany
I,4B5176,Duo Discus,HB-3279,AI,Y,Y,1,Switzerland
F,DDBC94,Duo Discus xlt,F-CIDQ,AI,Y,Y,1,France
F,3E5BF8,Ventus 3M,D-KAAI,AI,Y,Y,1,Germany
F,D00156,JS-3 18M,D-KOAI,AI,Y,Y,1,Germany
F,DDA788,Discus,OK-5475,AI,Y,Y,1,Czech Republic
F,DD529F,SZD-41 Jantar Std,LV-DLM,AI,Y,Y,1,Argentina
F,D01CE4,LS-4,D-5529,AI,Y,Y,1,Germany
F,DDAECE,ASK-13,F-CEAI,AI,Y,Y,1,France
I,3D2EF0,DA40,D-EQAI,AI,Y,Y,2,Germany
F,D00E16,JS-3 18M,D-KZAI,AI,Y,Y,1,Germany
F,DDEA2D,Ventus 2cxT,OM-1117,AI,Y,Y,1,Slovakia
F,3ED542,Ventus ct,D-KVSK,AI,Y,Y,1,Germany
F,38D9BB,ASW-24,F-CHAI,AI,Y,Y,1,France
F,DD5279,SF-25,D-KAIN,AIN,Y,Y,1,Germany
I,7C1E69,LS-10,VH-GAJ,AJ,Y,Y,1,Australia
I,7C2058,LS-4,VH-GOA,AJ,Y,Y,1,Australia
F,DDAA95,Libelle Club,D-2448,AJ,Y,Y,1,Germany
F,DD89DA,Twin Astir I,I-IVAJ,AJ,Y,Y,1,Italy
F,DDEB29,ASH-26 E,G-ZZAJ,AJ,Y,Y,1,United Kingdom
F,DD4F9B,ASW-20,LV-ESH,AJ,Y,Y,1,Argentina
F,DDC06D,ASW-19,OM-0423,AJ,Y,Y,1,Slovakia
F,DDEF85,Ventus 2cM,D-KKAJ,AJ,Y,Y,1,Germany
F,DDE9BE,Ventus,D-7720,AJ,Y,Y,1,Germany
F,D00DE5,JS-3 18M,D-KAJS,AJ,Y,Y,1,Germany
I,3E6BD1,SF-25,D-KGAJ,AJ,Y,Y,1,Germany
I,4B4B18,ASK-21,HB-1649,AJ,Y,Y,1,Switzerland
F,C01C1C,ASW-27,C-FKQT,AJ,Y,Y,1,Canada
F,DDF170,JS-3 18M,D-KAJS,AJ,Y,Y,1,Germany
F,DDBD86,DG-808 C,G-SMAJ,AJ,Y,Y,1,United Kingdom
I,407679,DR-400,G-CLAJ,AJ,Y,Y,2,United Kingdom
F,DDBAC5,ASH-25 MI,SP-0092,AJ,Y,Y,1,Poland
F,DDE425,Pegase,SP-3927,AJ,Y,Y,1,Poland
F,F65466,ASW-20,D-7615,AJ,Y,Y,1,Germany
F,3EC395,EB 28,D-KPAJ,AJ,Y,Y,1,Germany
I,3ECE25,ASH-31 MI,D-KTAJ,AJ,Y,Y,1,Germany
F,DF263C,ASK-21,D-7824,AJ,Y,Y,1,Germany
F,DDDC09,ASK-21,F-CKAJ,AJ,Y,Y,1,France
F,DD4E57,PW-5,EC-GPZ,AJ,Y,Y,1,Spain
F,DD83B1,ASW-20,D-7615,AJ,Y,Y,1,Germany
I,505D41,Viper SD-4,OM-AJA,AJA,Y,Y,2,Slovakia
I,484C57,PA-18 Super Cub,PH-AJF,AJF,Y,Y,2,Netherlands
I,C000FA,PA-28,C-FAJP,AJP,Y,Y,2,Canada
I,4B51B4,ASW-28,HB-3341,AK,Y,Y,1,Switzerland
O,ACBE53,SZD-50 Puchacz,SP-3181,AK,Y,Y,1,Poland
F,DDDF83,Ventus 2cM,LN-GAK,AK,Y,Y,1,Norway
F,DDFE61,Ventus 2cM,D-KPAK,AK,Y,Y,1,Germany
F,DD83DA,LS-4,OE-5506,AK,Y,Y,1,Austria
F,D0037D,ASW-28 18,D-KFAK,AK,Y,Y,1,Germany
F,D0075A,DG-300,I-AVAK,AK,Y,Y,1,Italy
I,4864A1,ASW-20,PH-1675,AK,Y,Y,1,Netherlands
F,DF1221,SZD-55,C-GKAK,AK,Y,Y,1,Canada
F,3E7D10,Ventus ct,D-KMOE,AK,Y,Y,1,Germany
F,DD8413,ASK-21,D-6234,AK,Y,Y,1,Germany
F,D001C0,ASG-32 MI,D-KBGT,AK,Y,Y,1,Germany
F,63E640,Antares 20 E,D-KVLT,AK,Y,Y,1,Germany
F,D02632,DG-200,OK-1979,AK,Y,Y,1,Czech Republic
I,3E7BAA,Piccolo B,D-KMAK,AK,Y,Y,3,Germany
I,D02AF8,ASH-25,HB-3278,AK,Y,Y,1,Switzerland
F,4076A6,LAK-17B FES,G-ELAK,AK,Y,Y,1,United Kingdom
I,3E5E9E,H36 Dimona,D-KBAK,AK,Y,Y,1,Germany
F,EDEAC2,LS-7,F-CAKS,AK,Y,Y,1,France
O,004F0F,L-Spatz 55,LY-GJH,AK,Y,Y,1,Lithuania
F,DD930D,Mu 26,D-8726,AK,Y,Y,1,Germany
F,DD92C4,Motorplane,D-MFAK,AK,Y,Y,2,Germany
F,3E6142,Ventus 2cM,D-KCAK,AK,Y,Y,1,Germany
O,08C5BB,Astir CS,OK-4165,AK,Y,Y,1,Czech Republic
F,DDDBD3,Ka-6 cr,F-CJAK,AK,Y,Y,1,France
F,DDDCDB,LS-4,D-4982,AK,Y,Y,1,Germany
I,C81D41,ASK-21,ZK-GAK,AK,Y,Y,1,New Zealand
O,7DF02D,ASK-21,OK-8464,AK,Y,Y,1,Czech Republic
F,D028CC,DG-808 C,D-KLOL,AK,Y,Y,1,Germany
I,484C85,Libelle Std,PH-485,AK,Y,Y,1,Netherlands
F,DD89A3,LS-3,OM-0304,AK,Y,Y,1,Slovakia
F,D018FF,SF-25,G-KWAK,AK,Y,Y,1,United Kingdom
F,4401B8,Twin Astir II,OE-5481,AK1,Y,Y,1,Austria
F,DD921F,Twin Astir II,OE-5481,AK1,Y,Y,1,Austria
O,83208C,Twin Astir II,N152AS,AK1,Y,Y,1,United States
F,DD914B,DG-300,D-4667,AK3,Y,Y,1,Germany
F,632D37,WT9 Dynamic,OE-7077,AK3,Y,Y,3,Austria
F,DDA9B8,Mu 22,D-1848,AKA,Y,Y,1,Germany
F,DD85AD,ASK-13,D-0271,AKA,Y,Y,1,Germany
F,4402D2,H36 Dimona,OE-9208,AKD,Y,Y,1,Austria
I,4AD6CC,Duo Discus xlt,SE-UVL,AKF,Y,Y,1,Sweden
I,C0010C,Cessna 172,C-FAKH,AKH,Y,Y,2,Canada
F,DDDD6C,ASW-19,OH-556,AKI,Y,Y,1,Unknown
I,C0010F,Cessna 182,C-FAKK,AKK,Y,Y,2,Canada
F,DDA756,DG-100,SP-4113,AKM,Y,Y,1,Poland
O,22314D,SZD-48-1 Jantar Std 2,SP-3195,AKR,Y,Y,1,Poland
I,3E5D0C,ASH-25,D-KAKY,AKY,Y,Y,1,Germany
F,61052B,Robinson R66,CC-AKY,AKY,Y,Y,4,Chile
F,3E6924,Ventus 2cM,D-KFAA,AKi,Y,Y,1,Germany
F,DDF9E9,ASK-13,F-CEAL,AL,Y,Y,1,France
F,3ECE27,Stemme S-10,D-KTAL,AL,Y,Y,1,Germany
F,DDA72E,Phoebus,D-8907,AL,Y,Y,1,Germany
F,DD8230,Cirrus Std,OK-7241,AL,Y,Y,1,Czech Republic
F,DDDF21,Ventus 2cxa FES,OH-993,AL,Y,Y,1,Unknown
F,DD52B5,Ventus,LV-EPJ,AL,Y,Y,1,Argentina
O,43AE43,SZD-30 Pirat,SP-3871,AL,Y,Y,1,Poland
F,3E5E9F,ASH-25,D-KBAL,AL,Y,Y,1,Germany
I,3EE678,DG-200,D-1505,AL,Y,Y,1,Germany
F,DF0A1E,ASH-26 E,D-KWAL,AL,Y,Y,1,Germany
F,D01CC6,Cirrus Std,G-CFRJ,AL,Y,Y,1,United Kingdom
F,DDD5C2,LAK-17B FES,D-KAJL,AL,Y,Y,1,Germany
F,DDDB1A,Elfe S4,D-1314,AL,Y,Y,1,Germany
I,3EF752,ASW-27,D-5819,AL,Y,Y,1,Germany
F,DDE46F,DG-200,D-2573,AL,Y,Y,1,Germany
F,DDC2E7,LS-1,OK-0121,AL,Y,Y,1,Czech Republic
F,DDDF57,Supermarine Spitfire,OM-XXXX,AL,Y,Y,2,Slovakia
F,DDC49B,Ventus,LN-GAL,AL,Y,Y,1,Norway
F,DDB173,Twin Astir II,D-8752,AL,Y,Y,1,Germany
I,DE0126,RF 5 b,D-KAAL,AL,Y,Y,1,Germany
F,DDFE42,Libelle Std,D-3600,AL,Y,Y,1,Germany
F,DDD907,ASW-20,D-7782,AL,Y,Y,1,Germany
O,CCCDDC,Astir CS,OK-4253,AL,Y,Y,1,Czech Republic
F,DDA375,Mistral C,D-4939,AL,Y,Y,1,Germany
F,C07A68,SZD-41 Jantar Std,C-GUJF,AL,Y,Y,1,Canada
I,7C018C,PA-25 Pawnee,VH-ALA,ALA,Y,Y,2,Australia
O,150669,PA34 Seneca,OM-ALA,ALA,Y,Y,2,Slovakia
F,D026C6,PA-25 Pawnee,VH-ALA,ALA,Y,Y,2,Australia
F,3F002B,Discus 2,D-8084,ALB,Y,Y,1,Germany
F,DD924F,Discus 2,D-8084,ALB,Y,Y,1,Germany
F,DDF022,Discus 2,D-8084,ALB,Y,Y,1,Germany
O,861E0D,Rallye 180T-D,SP-ALC,ALC,Y,Y,2,Poland
F,DDB6D0,PA-25 Pawnee,VH-ALD,ALD,Y,Y,2,Australia
O,EB2389,Gyrocopter,F-JALF,ALF,Y,Y,3,France
I,4B436C,Bell 407,HB-ZNW,ALI,Y,Y,4,Switzerland
I,4B4343,EC 120,HB-ZMH,ALI,Y,Y,4,Switzerland
I,4B4365,AS 350,HB-ZNP,ALI,Y,Y,4,Switzerland
I,4B439D,AS 350,HB-ZPT,ALI,Y,Y,4,Switzerland
O,155035,Allegro 2000,OK-NUU94,ALL,Y,Y,3,Czech Republic
I,4B444D,Robinson R44,HB-ZWN,ALP,Y,Y,4,Switzerland
I,C045D6,Cessna 120,C-GALP,ALP,Y,Y,2,Canada
F,DDAF28,Robinson R44,HB-ZPE,ALP,Y,Y,4,Switzerland
I,4B43F5,Robinson R44,HB-ZTD,ALP,Y,Y,4,Switzerland
I,4B421F,EC 120,HB-ZBB,ALP,Y,Y,4,Switzerland
O,4B42BD,EC 120,HB-ZHD,ALP,Y,Y,4,Switzerland
I,4B42C8,AS 350,HB-ZHO,ALP,Y,Y,4,Switzerland
I,4B4278,Robinson R22,HB-ZEM,ALP,Y,Y,4,Switzerland
I,4B438E,Robinson R44,HB-ZPE,ALP,Y,Y,4,Switzerland
